latitude,longitude,temperature_mean
-33.99562899070974,18.824646260261243,21.092916666666667
-33.955,18.9134,16.221635610766047
-33.954,18.9245,17.353623188405795
-33.9524,18.9213,17.198654244306418
-33.952212125649005,18.889015478917788,18.727412280701756
-33.952,18.917,17.419565217391305
-33.9504,18.9219,18.77857142857143
-33.9481,18.9242,16.571428571428573
-33.941495153883416,18.8260706485948,16.399275362318843
-33.9397,18.9048,17.34016563146998
-33.9392,18.903,17.471221532091096
-33.9382,18.9064,17.413975155279505
-33.9378,18.8997,17.459213250517596
-33.9376,18.9141,17.060144927536232
-33.9375,18.8946,17.14527260179434
-33.9344,18.9474,17.40569358178054
-33.9333,18.9311,16.79209799861967
-33.9328,18.9034,17.633747412008283
-33.9317,18.93,16.83195020746888
-33.9317,18.9467,17.329089026915117
-33.9316,18.9291,16.532608695652176
-33.9305,18.9261,16.71014492753623
-33.9304,18.9474,16.99120082815735
-33.9286,18.9291,17.098550724637683
-33.9285,18.9214,16.79927536231884
-33.92676685824574,18.76246783518133,17.614458247066942
-33.9249,18.9347,17.42795031055901
-33.9248,18.9223,16.96821946169772
-33.9243,18.8924,17.28488612836439
-33.9239,18.9234,16.844616977225673
-33.9165,18.9152,17.016459627329194
-33.9139,18.9343,16.243064182194615
-33.9137,18.9166,17.013768115942028
-33.9104,18.9374,16.807556935817807
-33.9091,18.9351,16.95320910973085
-33.9082,18.9186,16.274120082815735
-33.9067,18.934,16.981780538302278
-33.9065,18.9309,16.472049689440993
-33.90331909279742,18.93244826133696,18.1645390070922
-33.9027,18.9249,16.72008281573499
-33.902,18.9221,16.140476190476193
-33.9014,18.9208,16.467908902691512
-33.9003,18.9291,16.54368530020704
-33.89985,18.904367,16.076011904761906
-33.8997,18.9261,16.810662525879916
-33.8981,18.9109,16.10807453416149
-33.8978,18.9286,15.834057971014493
-33.890867,18.89935,15.68890873015873
-33.8895,18.907,16.609627329192545
-33.82899,18.919007,18.681374501992032
-33.828547,18.918434,16.553436532507742
-33.828464,18.918753,18.194190871369294
-33.82341620372991,18.852752441427903,18.595652173913045
-33.82122368309461,18.852067873560173,17.893167701863355
-33.81585924186409,18.84514528320629,17.87688060731532
-33.813293,18.916978,17.397791666666667
-33.810767,18.923169,21.1838125
-33.80843,18.89688,18.176166666666667
-33.8027925,18.8915613,20.84119791666667
-33.79741892086688,18.80510081107357,18.324431818181818
-33.79630888472596,18.992563654146743,17.717805383022775
-33.76079,18.971679,18.638640350877193
